player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Aaron Civale,CWS,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,107,-141,4.0,PUSH
Brayan Bello,BOS,Pitcher Strikeouts,3.5,3.5,−130,Over,3.5,-136,102,1.0,MISS
Bryce Elder,ATL,Pitcher Strikeouts,4.0,4.5,−165,Under,4.5,121,-162,2.0,HIT
Brandon Walter,HOU,Pitcher Strikeouts,4.0,4.5,−150,Under,4.5,118,-157,5.0,MISS
Cade Horton,CHC,Pitcher Strikeouts,4.0,3.5,−170,Over,4.5,127,-170,2.0,MISS
David Festa,MIN,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-118,-113,6.0,MISS
David Peterson,NYM,Pitcher Strikeouts,5.0,4.5,−165,Over,4.5,-164,124,5.0,PUSH
Dustin May,LAD,Pitcher Strikeouts,4.0,3.5,−155,Over,3.5,-167,126,3.0,MISS
Dylan Cease,SD,Pitcher Strikeouts,7.0,6.5,−155,Over,6.5,-162,122,8.0,HIT
Eury Pérez,MIA,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-118,-113,,
Jake Irvin,WSH,Pitcher Strikeouts,4.5,4.5,−140,Over,4.5,-136,102,5.0,HIT
José Berríos,TOR,Pitcher Strikeouts,5.0,4.5,−145,Over,5.5,120,-159,,
José Quintana,MIL,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-150,113,5.0,PUSH
José Soriano,LAA,Pitcher Strikeouts,5.0,5.5,−155,Under,5.5,106,-141,,
Kyle Freeland,COL,Pitcher Strikeouts,3.5,3.5,−130,Under,3.5,101,-134,2.0,HIT
Landen Roupp,SF,Pitcher Strikeouts,4.5,4.5,−115,Under,4.5,100,-132,4.0,HIT
Logan Gilbert,SEA,Pitcher Strikeouts,7.0,6.5,−130,Over,6.5,-132,100,7.0,PUSH
Luis L. Ortiz,CLE,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-154,116,,
Merrill Kelly,AZ,Pitcher Strikeouts,5.5,5.5,−115,Under,5.5,-104,-129,7.0,MISS
Mick Abel,PHI,Pitcher Strikeouts,3.5,3.5,−125,Over,3.5,-141,106,,
Mitch Spence,ATH,Pitcher Strikeouts,4.0,4.5,−135,Under,4.5,112,-148,5.0,MISS
Nick Martinez,CIN,Pitcher Strikeouts,3.0,3.5,−145,Under,3.5,111,-148,6.0,MISS
Noah Cameron,KC,Pitcher Strikeouts,3.5,3.5,−120,Over,3.5,-137,104,4.0,HIT
Ryan Pepiot,TB,Pitcher Strikeouts,6.0,6.5,−160,Under,6.5,119,-159,1.0,HIT
Sawyer Gipson-Long,DET,Pitcher Strikeouts,4.0,4.5,−170,Under,4.5,129,-173,5.0,MISS
Sonny Gray,STL,Pitcher Strikeouts,6.0,5.5,−160,Over,5.5,-170,127,11.0,HIT
Tomoyuki Sugano,BAL,Pitcher Strikeouts,3.0,3.5,−145,Under,3.5,109,-145,2.0,HIT
Will Warren,NYY,Pitcher Strikeouts,6.5,6.5,−120,Over,6.5,-122,-108,7.0,HIT
