player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Austin Gomber,COL,Pitcher Strikeouts,2.5,2.5,−125,Over,2.5,-132,-103
Bryce Elder,ATL,Pitcher Strikeouts,4.5,4.5,−135,Under,4.5,+103,-139
Brady Singer,CIN,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-159,+116
Brandon Woodruff,MIL,Pitcher Strikeouts,6.0,6.5,−150,Under,6.5,+109,-148
Carlos Rodón,NYY,Pitcher Strikeouts,5.0,5.5,−165,Under,5.5,+126,-170
Colton Gordon,HOU,Pitcher Strikeouts,3.5,3.5,−125,Under,3.5,-103,-134
David Festa,MIN,Pitcher Strikeouts,4.5,4.5,−135,Under,4.5,+103,-139
Eury Pérez,MIA,Pitcher Strikeouts,5.0,4.5,−150,Over,5.5,+130,-176
George Kirby,SEA,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,+100,-136
Hayden Birdsong,SF,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-113,-120
Jack Flaherty,DET,Pitcher Strikeouts,6.0,6.5,−140,Under,6.5,+105,-141
Jake Irvin,WSH,Pitcher Strikeouts,4.5,4.5,−115,Under,4.5,-121,-113
Jack Leiter,TEX,Pitcher Strikeouts,5.0,5.5,−135,Under,5.5,+116,-159
Jacob Lopez,ATH,Pitcher Strikeouts,5.5,5.5,−120,Under,5.5,+101,-136
Kevin Gausman,TOR,Pitcher Strikeouts,6.0,5.5,−150,Over,5.5,-150,+110
Kodai Senga,NYM,Pitcher Strikeouts,5.5,5.5,−115,Over,5.5,-113,-120
Michael McGreevy,STL,Pitcher Strikeouts,4.0,4.5,−155,Under,4.5,+128,-173
Noah Cameron,KC,Pitcher Strikeouts,4.0,4.5,−165,Under,4.5,+120,-162
Paul Skenes,PIT,Pitcher Strikeouts,6.5,6.5,−115,Over,6.5,-124,-109
Randy Vásquez,SD,Pitcher Strikeouts,2.5,2.5,−115,Under,2.5,-115,-118
Sean Burke,CWS,Pitcher Strikeouts,4.0,3.5,−165,Over,3.5,-170,+126
Shane Baz,TB,Pitcher Strikeouts,6.0,5.5,−135,Over,5.5,-157,+115
Shohei Ohtani,LAD,Pitcher Strikeouts,3.5,3.5,−130,Over,3.5,-129,-106
Tanner Bibee,CLE,Pitcher Strikeouts,6.0,5.5,−145,Over,5.5,-145,+107
Tomoyuki Sugano,BAL,Pitcher Strikeouts,3.0,3.5,−165,Under,3.5,+116,-157
Tyler Anderson,LAA,Pitcher Strikeouts,4.0,3.5,−150,Over,3.5,-150,+111
Walker Buehler,BOS,Pitcher Strikeouts,4.0,,,,3.5,-167,+122
Zac Gallen,AZ,Pitcher Strikeouts,5.5,5.5,−125,Under,5.5,-122,-110
Zack Wheeler,PHI,Pitcher Strikeouts,8.0,8.5,−155,Under,7.5,-193,+141
